Exp,fps,Person
1621251883.4521432,3.1870275231696903,"[['luc_reveyron', 0]]"
1621251883.774389,3.1445700350776784,"[['luc_reveyron', 0]]"
1621251884.091269,3.1482940968436255,"[['luc_reveyron', 0]]"
1621251884.409973,3.145640810285616,"[['luc_reveyron', 0]]"
1621251884.728909,3.1435904077739734,"[['luc_reveyron', 0]]"
1621251885.059037,3.123918017978148,"[['luc_reveyron', 0]]"
1621251885.382554,3.119175218776722,"[['luc_reveyron', 0]]"
1621251885.710569,3.1101816851508652,"[['luc_reveyron', 0]]"
1621251886.0384488,3.1033669462455467,"[['luc_reveyron', 0]]"
1621251886.3580601,3.105890040932525,"[['luc_reveyron', 0]]"
1621251886.677252,3.1083280585948097,"[['luc_reveyron', 0]]"
1621251886.996886,3.1100047557156056,"[['luc_reveyron', 0]]"
1621251887.313319,3.1138119837209906,"[['luc_reveyron', 0]]"
1621251887.630375,3.116649744000616,"[['luc_reveyron', 0]]"
1621251887.944878,3.1207694069726726,"[['luc_reveyron', 0]]"
1621251888.263266,3.1220157919363793,"[['luc_reveyron', 0]]"
1621251888.579246,3.12449801263547,"[['luc_reveyron', 0]]"
1621251888.9003599,3.12392127093613,"[['luc_reveyron', 0]]"
1621251889.217012,3.1256986553408894,"[['luc_reveyron', 0]]"
1621251889.528309,3.1299213122132503,"[['luc_reveyron', 0]]"
1621251889.843103,3.1321162426775597,"[['luc_reveyron', 0]]"
1621251890.1564522,3.1347600576282892,"[['luc_reveyron', 0]]"
1621251890.4699159,3.1371286679683474,"[['luc_reveyron', 0]]"
1621251890.787621,3.137562095949002,"[['luc_reveyron', 0]]"
1621251891.1049411,3.1381133913340373,"[['diane_marquette', 0]]"
1621251891.419744,3.139576009920094,"[['diane_marquette', 0]]"
1621251891.737092,3.1400018677196297,"[['luc_reveyron', 0]]"
1621251892.057088,3.139465014979173,"[['luc_reveyron', 0]]"
1621251892.37697,3.1390044246973408,"[['luc_reveyron', 0]]"
1621251892.690934,3.1405187425111714,"[['luc_reveyron', 0]]"
1621251893.0033631,3.1424252548810983,"[['luc_reveyron', 0]]"
1621251893.325997,3.1410654454727727,"[['luc_reveyron', 0]]"
1621251893.645545,3.1407112892581774,"[['luc_reveyron', 0]]"
1621251893.9648058,3.140461287579891,"[['diane_marquette', 0]]"
1621251894.2806242,3.1411962321440945,"[['luc_reveyron', 0]]"
1621251894.603489,3.139958960736383,"[['luc_reveyron', 0]]"
1621251894.916764,3.1413453431210865,"[['luc_reveyron', 0]]"
1621251895.231477,3.1422864516598508,"[['diane_marquette', 0]]"
1621251895.541643,3.1443313389941507,"[['luc_reveyron', 0]]"
1621251895.859667,3.1443339691438648,"[['luc_reveyron', 0]]"
1621251896.1783512,3.1441768426160808,"[['luc_reveyron', 0]]"
1621251896.490189,3.145639043312304,"[['luc_reveyron', 0]]"
1621251896.812671,3.1445850975918326,"[['luc_reveyron', 0]]"
1621251897.130852,3.1445462133946234,"[['luc_reveyron', 0]]"
1621251897.4448378,3.1454308841890093,"[['luc_reveyron', 0]]"
1621251897.7635891,3.1452524772794828,"[['luc_reveyron', 0]]"
1621251898.0758998,3.1464376167194463,"[['luc_reveyron', 0]]"
1621251898.389633,3.1472807396057285,"[['diane_marquette', 0]]"
1621251898.705547,3.147648818748424,"[['diane_marquette', 0]]"
1621251899.028744,3.1465592406169445,"[['luc_reveyron', 0]]"
1621251899.345682,3.1467280414375955,"[['luc_reveyron', 0]]"
1621251899.665366,3.1463676939678207,"[['luc_reveyron', 0]]"
1621251899.988199,3.1454327011527954,"[['luc_reveyron', 0]]"
1621251900.307501,3.1451797499349126,"[['luc_reveyron', 0]]"
1621251900.6280708,3.1447080281537136,"[['luc_reveyron', 0]]"
1621251900.946256,3.144674395639909,"[['luc_reveyron', 0]]"
1621251901.263985,3.144721229566139,"[['luc_reveyron', 0]]"
1621251901.6031628,3.1411132679487137,"[['luc_reveyron', 0]]"
1621251901.918085,3.141687887259625,"[['luc_reveyron', 0]]"
1621251902.2339,3.1420967704010714,"[['luc_reveyron', 0]]"
1621251902.546868,3.1429533157564955,"[['luc_reveyron', 0]]"
1621251902.865331,3.1429069658984456,"[['luc_reveyron', 0]]"
1621251903.178449,3.143700495761568,"[['luc_reveyron', 0]]"
1621251903.4905758,3.1446225676590114,"[['luc_reveyron', 0]]"
1621251903.800571,3.145841350187364,"[['luc_reveyron', 0]]"
1621251904.114926,3.1463698400428477,"[['luc_reveyron', 0]]"
1621251904.43332,3.1462861520018737,"[['luc_reveyron', 0]]"
1621251904.7510772,3.146297367853891,"[['luc_reveyron', 0]]"
1621251905.059656,3.1476256980373183,"[['luc_reveyron', 0]]"
1621251905.373141,3.1482223562465452,"[['luc_reveyron', 0]]"
1621251905.694079,3.1477621162573177,"[['luc_reveyron', 0]]"
1621251906.006826,3.148441954143468,"[['luc_reveyron', 0]]"
1621251906.327232,3.1480634730669586,"[['luc_reveyron', 0]]"
1621251906.644578,3.148104802621061,"[['luc_reveyron', 0]]"
1621251906.957547,3.1487236648624477,"[['luc_reveyron', 0]]"
1621251907.279148,3.1482003726806465,"[['luc_reveyron', 0]]"
1621251907.5966809,3.1482142470187022,"[['luc_reveyron', 0]]"
1621251907.9112089,3.1486097797918835,"[['luc_reveyron', 0]]"
1621251908.229758,3.1484908804958005,"[['luc_reveyron', 0]]"
1621251908.550776,3.1480688270157824,"[['luc_reveyron', 0]]"
1621251908.87058,3.1478060491349984,"[['luc_reveyron', 0]]"
1621251909.188951,3.147722622682489,"[['luc_reveyron', 0]]"
1621251909.5087302,3.1474732672391754,"[['luc_reveyron', 0]]"
1621251909.8308659,3.146952098219072,"[['luc_reveyron', 0]]"
1621251910.1510952,3.1466652530118773,"[['luc_reveyron', 0]]"
1621251910.467372,3.146840352738849,"[['luc_reveyron', 0]]"
1621251910.787586,3.1465632259926086,"[['luc_reveyron', 0]]"
1621251911.104911,3.146617463104748,"[['luc_reveyron', 0]]"
1621251911.415966,3.1473680841669878,"[['luc_reveyron', 0]]"
1621251911.7320719,3.1475463774346664,"[['luc_reveyron', 0]]"
1621251912.051071,3.147405920146023,"[['luc_reveyron', 0]]"
1621251912.365493,3.147761286511935,"[['luc_reveyron', 0]]"
1621251912.6875021,3.147300783474843,"[['luc_reveyron', 0]]"
1621251913.0031092,3.1475247881807897,"[['luc_reveyron', 0]]"
1621251913.3183072,3.1477866619730404,"[['luc_reveyron', 0]]"
1621251913.634826,3.1479069664951864,"[['luc_reveyron', 0]]"
1621251913.952252,3.1479319336632736,"[['luc_reveyron', 0]]"
1621251914.2648509,3.148444668333843,"[['luc_reveyron', 0]]"
1621251914.582554,3.14843617175349,"[['diane_marquette', 0]]"
1621251914.8979158,3.1486597178895352,"[['luc_reveyron', 0]]"
1621251915.2079701,3.1494001530857934,"[['luc_reveyron', 0]]"
1621251915.523828,3.14956195151305,"[['luc_reveyron', 0]]"
1621251915.8393521,3.1497526985429793,"[['luc_reveyron', 0]]"
1621251916.166185,3.1488612340151008,"[['luc_reveyron', 0]]"
1621251916.4870882,3.1485469141136675,"[['luc_reveyron', 0]]"
1621251916.8087602,3.148166869951127,"[['luc_reveyron', 0]]"
1621251917.137511,3.1471384276190517,"[['luc_reveyron', 0]]"
1621251917.464742,3.1462690885675038,"[['luc_reveyron', 0]]"
1621251917.778805,3.1466119375586326,"[['luc_reveyron', 0]]"
1621251918.093554,3.1468866863034304,"[['luc_reveyron', 0]]"
1621251918.415605,3.1465052828831555,"[['luc_reveyron', 0]]"
1621251918.7313762,3.1466857041151766,"[['luc_reveyron', 0]]"
1621251919.04788,3.1467987171086436,"[['luc_reveyron', 0]]"
1621251919.3617191,3.147141538301251,"[['luc_reveyron', 0]]"
1621251919.678942,3.147186984066586,"[['luc_reveyron', 0]]"
1621251919.996479,3.1472044088643942,"[['luc_reveyron', 0]]"
1621251920.30806,3.147726094775773,"[['luc_reveyron', 0]]"
1621251920.625812,3.1477208593672747,"[['luc_reveyron', 0]]"
1621251920.941154,3.1479163848862663,"[['luc_reveyron', 0]]"
1621251921.257882,3.1479942947850064,"[['diane_marquette', 0]]"
1621251921.568676,3.1485569304890224,"[['luc_reveyron', 0]]"
1621251921.873993,3.149555724185867,"[['luc_reveyron', 0]]"
1621251922.185306,3.150055264262234,"[['luc_reveyron', 0]]"
1621251922.498697,3.1503804109752545,"[['luc_reveyron', 0]]"
1621251922.8181078,3.150222492654122,"[['luc_reveyron', 0]]"
1621251923.1360588,3.1501821592833608,"[['luc_reveyron', 0]]"
1621251923.4512892,3.1503550871884336,"[['luc_reveyron', 0]]"
1621251923.763789,3.1507368896668804,"[['luc_reveyron', 0]]"
1621251924.08065,3.150777219802542,"[['luc_reveyron', 0]]"
1621251924.389952,3.15139436716377,"[['luc_reveyron', 0]]"
1621251924.699209,3.1520058173996834,"[['luc_reveyron', 0]]"
1621251925.00971,3.152514495715422,"[['luc_reveyron', 0]]"
1621251925.321037,3.152953869724593,"[['luc_reveyron', 0]]"
1621251925.635746,3.153135928983849,"[['luc_reveyron', 0]]"
1621251925.951843,3.1532131557378285,"[['luc_reveyron', 0]]"
1621251926.2761312,3.1526904306735077,"[['luc_reveyron', 0]]"
1621251926.593993,3.152641561545247,"[['luc_reveyron', 0]]"
1621251926.911556,3.1526150084806486,"[['luc_reveyron', 0]]"
1621251927.233343,3.15228684122988,"[['luc_reveyron', 0]]"
1621251927.5513349,3.1522328289603196,"[['luc_reveyron', 0]]"
1621251927.8706272,3.152087906142894,"[['luc_reveyron', 0]]"
1621251928.190891,3.1518769649289315,"[['luc_reveyron', 0]]"
1621251928.511245,3.151662819507532,"[['luc_reveyron', 0]]"
1621251928.8259342,3.1518424390462676,"[['luc_reveyron', 0]]"
1621251929.140831,3.15200541779734,"[['luc_reveyron', 0]]"
1621251929.461558,3.1517693288244613,"[['luc_reveyron', 0]]"
1621251929.7797272,3.151709464701444,"[['luc_reveyron', 0]]"
1621251930.0956428,3.1518014930679956,"[['luc_reveyron', 0]]"
1621251930.4153569,3.151639150600675,"[['luc_reveyron', 0]]"
1621251930.7352052,3.1514701829006144,"[['luc_reveyron', 0]]"
1621251931.0501099,3.1516285215952715,"[['luc_reveyron', 0]]"
1621251931.372535,3.151293344692364,"[['luc_reveyron', 0]]"
1621251931.690499,3.1512522613066984,"[['diane_marquette', 0]]"
1621251932.0207858,3.1504171796749403,"[['luc_reveyron', 0]]"
1621251932.34737,3.149830443611146,"[['luc_reveyron', 0]]"
1621251932.6670232,3.1496920842847103,"[['luc_reveyron', 0]]"
1621251932.9858282,3.149609142532954,"[['luc_reveyron', 0]]"
1621251933.3119092,3.1490703954158143,"[['luc_reveyron', 0]]"
1621251933.6302452,3.149021563350966,"[['luc_reveyron', 0]]"
1621251933.950609,3.1488477864101907,"[['luc_reveyron', 0]]"
1621251934.271163,3.148664425534683,"[['diane_marquette', 0]]"
1621251934.599006,3.1480373910667327,"[['luc_reveyron', 0]]"
1621251934.920882,3.147780917769708,"[['luc_reveyron', 0]]"
1621251935.241726,3.1475901368574113,"[['luc_reveyron', 0]]"
1621251935.560938,3.147499434737715,"[['luc_reveyron', 0]]"
1621251935.875584,3.147682453375001,"[['luc_reveyron', 0]]"
1621251936.197879,3.1474095679026943,"[['luc_reveyron', 0]]"
1621251936.511656,3.147642120959952,"[['luc_reveyron', 0]]"
1621251936.828897,3.1476689788375136,"[['diane_marquette', 0]]"
1621251937.140585,3.148019137660155,"[['luc_reveyron', 0]]"
1621251937.454697,3.148224716082601,"[['luc_reveyron', 0]]"
1621251937.7656739,3.1486087304842547,"[['luc_reveyron', 0]]"
1621251938.075695,3.149043137759006,"[['luc_reveyron', 0]]"
1621251938.386132,3.149448898028646,"[['luc_reveyron', 0]]"
1621251938.699479,3.1496852645502544,"[['luc_reveyron', 0]]"
1621251939.012332,3.1499467166825705,"[['luc_reveyron', 0]]"
1621251939.332073,3.1498191736860477,"[['luc_reveyron', 0]]"
1621251939.647867,3.149913069477739,"[['luc_reveyron', 0]]"
1621251939.963419,3.150019391976922,"[['luc_reveyron', 0]]"
1621251940.287322,3.1496641119449422,"[['luc_reveyron', 0]]"
1621251940.6043782,3.1496881278004927,"[['luc_reveyron', 0]]"
1621251940.921451,3.149711007957883,"[['luc_reveyron', 0]]"
1621251941.235206,3.1499134703278324,"[['luc_reveyron', 0]]"
1621251941.544529,3.1503530116082117,"[['luc_reveyron', 0]]"
1621251941.854456,3.1507550273489793,"[['luc_reveyron', 0]]"
1621251942.1740491,3.150637198587559,"[['luc_reveyron', 0]]"
1621251942.489109,3.1507611581847557,"[['luc_reveyron', 0]]"
1621251942.805964,3.1507890723864125,"[['luc_reveyron', 0]]"
1621251943.1204102,3.150943287388801,"[['diane_marquette', 0]]"
1621251943.435394,3.1510677260313122,"[['luc_reveyron', 0]]"
